Data Source in SDW: http://sdw.ecb.europa.eu/browseTable.do?DATASET=0&CB_REP_SECTOR=67&REF_AREA=50&REF_AREA=65&REF_AREA=67&REF_AREA=177&REF_AREA=105&REF_AREA=106&REF_AREA=124&REF_AREA=140&REF_AREA=152&REF_AREA=156&REF_AREA=262&REF_AREA=168&REF_AREA=179&REF_AREA=183&REF_AREA=190&REF_AREA=218&REF_AREA=216&REF_AREA=217&REF_AREA=232&REF_AREA=244&REF_AREA=256&REF_AREA=258&REF_AREA=265&REF_AREA=282&REF_AREA=281&REF_AREA=143&REF_AREA=278&REF_AREA=160&CB_ITEM=I3160&node=9689600
,CBD2.A.AT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.BE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.BG.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.CY.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.CZ.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.DE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.DK.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.EE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.ES.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.FI.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.FR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.GB.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.GR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.HR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.HU.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.IE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.IT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.LT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.LU.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.LV.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.MT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.NL.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.PL.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.PT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.RO.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.SE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.SI.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.A.SK.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.AT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.BE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.BG.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.CY.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.CZ.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.DE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.DK.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.EE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.ES.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.FI.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.FR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.GB.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.GR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.HR.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.HU.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.IE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.IT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.LT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.LU.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.LV.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.MT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.NL.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.PL.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.PT.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.RO.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.SE.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.SI.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC,CBD2.Q.SK.W0.67._Z._Z.A.A.I3160._Z._Z._Z._Z._Z._Z.PC
,"Annual, Austria","Annual, Belgium","Annual, Bulgaria","Annual, Cyprus","Annual, Czech Republic","Annual, Germany","Annual, Denmark","Annual, Estonia","Annual, Spain","Annual, Finland","Annual, France","Annual, United Kingdom","Annual, Greece","Annual, Croatia","Annual, Hungary","Annual, Ireland","Annual, Italy","Annual, Lithuania","Annual, Luxembourg","Annual, Latvia","Annual, Malta","Annual, Netherlands","Annual, Poland","Annual, Portugal","Annual, Romania","Annual, Sweden","Annual, Slovenia","Annual, Slovakia","Quarterly, Austria","Quarterly, Belgium","Quarterly, Bulgaria","Quarterly, Cyprus","Quarterly, Czech Republic","Quarterly, Germany","Quarterly, Denmark","Quarterly, Estonia","Quarterly, Spain","Quarterly, Finland","Quarterly, France","Quarterly, United Kingdom","Quarterly, Greece","Quarterly, Croatia","Quarterly, Hungary","Quarterly, Ireland","Quarterly, Italy","Quarterly, Lithuania","Quarterly, Luxembourg","Quarterly, Latvia","Quarterly, Malta","Quarterly, Netherlands","Quarterly, Poland","Quarterly, Portugal","Quarterly, Romania","Quarterly, Sweden","Quarterly, Slovenia","Quarterly, Slovakia"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4967,64.0133,65.3438,72.2586,64.0484,60.0041,71.4438,74.3458,64.7423,53.5284,55.6052,33.8863,63.1456,72.8262,66.1731,63.3946,67.8706,73.0656,68.9639,53.0449,44.6731,71.3540,68.9232,64.4036,61.1953,65.4327,62.2447,70.8837
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6232,64.3898,66.1882,73.2890,63.4596,60.1142,70.5760,73.3711,64.4857,53.6221,55.7936,40.5215,63.9756,73.5531,69.0673,62.5297,67.4458,75.5866,70.6492,53.7085,43.3733,72.1093,69.2940,64.4936,59.8471,65.7808,64.9368,70.4364
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5401,62.2833,65.8083,74.1838,62.7944,58.2074,67.4804,75.5814,63.6506,49.9870,53.0243,38.9122,64.7892,74.8390,70.2098,61.7730,66.8472,78.7572,70.7816,55.5247,44.3409,70.7658,68.7598,64.7083,59.3050,62.3067,65.5518,70.5320
2014-12-31,70.8147,61.4308,70.3305,73.3500,62.9171,59.7273,69.2328,73.0748,63.7225,53.5222,54.2067,-,66.2252,76.6285,72.4707,61.0747,67.1498,69.3628,71.0511,58.1106,47.2196,71.4400,68.1303,64.6399,58.2351,64.7174,65.8450,70.1204,70.8147,61.4308,70.3305,73.3500,62.9186,59.7273,69.2328,73.0748,63.7225,53.5222,54.2067,-,66.2252,76.6285,72.4707,61.0747,67.1498,69.3628,71.0511,58.1106,47.2196,71.4400,68.1303,64.6399,58.2351,64.7174,65.8450,70.1204
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3226,66.3787,72.2678,75.1876,59.8372,62.2006,68.9600,74.8253,64.2457,57.6992,56.8510,40.5103,67.6302,78.2011,61.7657,58.7290,67.3288,79.2149,72.0977,75.9557,51.7186,73.2789,70.2058,69.8760,58.9875,60.7534,71.3964,72.2034
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
